date,State0,State1,State2,Comp#,AverageState,S0Percent,S1Percent,S2Percent
2010-07-01,608,1161,954,2723,1.127065736320235,0.22328314359162688,0.4263679764965112,0.3503488799118619
2010-07-02,620,1161,939,2720,1.1172794117647058,0.22794117647058823,0.42683823529411763,0.3452205882352941
2010-07-06,616,1162,942,2720,1.1198529411764706,0.22647058823529412,0.42720588235294116,0.3463235294117647
2010-07-07,611,1173,939,2723,1.1204553800954828,0.22438486962908558,0.43077488064634595,0.3448402497245685
2010-07-08,615,1176,931,2722,1.1160911094783248,0.22593681116825864,0.432035268185158,0.3420279206465834
2010-07-09,624,1165,926,2715,1.1112338858195212,0.22983425414364642,0.429097605893186,0.3410681399631676
2010-07-12,620,1176,922,2718,1.1111111111111112,0.22810890360559236,0.4326710816777042,0.33922001471670343
2010-07-13,619,1174,923,2716,1.1119293078055965,0.22790868924889543,0.4322533136966127,0.3398379970544919
2010-07-14,624,1179,915,2718,1.1070640176600441,0.22958057395143489,0.4337748344370861,0.336644591611479
2010-07-15,630,1169,917,2716,1.1056701030927836,0.23195876288659795,0.43041237113402064,0.33762886597938147
2010-07-16,625,1167,926,2718,1.1107431935246506,0.2299484915378955,0.42935982339955847,0.340691685062546
2010-07-19,614,1172,927,2713,1.1153704386288241,0.22631772945079248,0.43199410246959086,0.34168816807961666
2010-07-20,615,1174,929,2718,1.1155261221486388,0.22626931567328917,0.43193524650478293,0.3417954378219279
2010-07-21,607,1171,937,2715,1.1215469613259668,0.22357274401473295,0.4313075506445672,0.3451197053406998
2010-07-22,611,1162,942,2715,1.1219152854511971,0.22504604051565377,0.4279926335174954,0.3469613259668508
2010-07-23,604,1170,942,2716,1.1244477172312224,0.22238586156111928,0.43078055964653905,0.34683357879234167
2010-07-26,596,1165,949,2710,1.1302583025830257,0.2199261992619926,0.42988929889298894,0.3501845018450184
2010-07-27,590,1170,950,2710,1.132841328413284,0.2177121771217712,0.4317343173431734,0.3505535055350554
